"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width"
"1",7,3.2,4.7,1.4
"2",6.4,3.2,4.5,1.5
"3",6.9,3.1,4.9,1.5
"4",5.5,2.3,4,1.3
"5",6.5,2.8,4.6,1.5
"6",5.7,2.8,4.5,1.3
"7",6.3,3.3,4.7,1.6
"8",4.9,2.4,3.3,1
"9",6.6,2.9,4.6,1.3
"10",5.2,2.7,3.9,1.4
"11",5,2,3.5,1
"12",5.9,3,4.2,1.5
"13",6,2.2,4,1
"14",6.1,2.9,4.7,1.4
"15",5.6,2.9,3.6,1.3
"16",6.7,3.1,4.4,1.4
"17",5.6,3,4.5,1.5
"18",5.8,2.7,4.1,1
"19",6.2,2.2,4.5,1.5
"20",5.6,2.5,3.9,1.1
"21",5.9,3.2,4.8,1.8
"22",6.1,2.8,4,1.3
"23",6.3,2.5,4.9,1.5
"24",6.1,2.8,4.7,1.2
"25",6.4,2.9,4.3,1.3
"26",6.6,3,4.4,1.4
"27",6.8,2.8,4.8,1.4
"28",6.7,3,5,1.7
"29",6,2.9,4.5,1.5
"30",5.7,2.6,3.5,1
"31",5.5,2.4,3.8,1.1
"32",5.5,2.4,3.7,1
"33",5.8,2.7,3.9,1.2
"34",6,2.7,5.1,1.6
"35",5.4,3,4.5,1.5
"36",6,3.4,4.5,1.6
"37",6.7,3.1,4.7,1.5
"38",6.3,2.3,4.4,1.3
"39",5.6,3,4.1,1.3
"40",5.5,2.5,4,1.3
"41",5.5,2.6,4.4,1.2
"42",6.1,3,4.6,1.4
"43",5.8,2.6,4,1.2
"44",5,2.3,3.3,1
"45",5.6,2.7,4.2,1.3
"46",5.7,3,4.2,1.2
"47",5.7,2.9,4.2,1.3
"48",6.2,2.9,4.3,1.3
"49",5.1,2.5,3,1.1
"50",5.7,2.8,4.1,1.3
